S.No,Name of BC,Contact Number,Gender,Bank Name,State,District ,Office Name,Pincode,Corporate BC name,ODOP product,CODE WORD OF PRODUCT LIST,CROP2 NAME,CROP2 SEASON,CROP1 AREA,CROP1 PRODUCTION,CROP1 Pincode,CROP1 NAME,SEASON,CROP AREA,CROP PRODUCTION,CROP3 NAME,SEASON,CROP AREA,CROP PRODUCTION
1510,Surabhi Yadav,8147086317,female,IDBI Bank,Maharashtra,Ahmed Nagar,Ambhore B.O,422605,Loanzen Finance Private Limited,"Cane Sugar,Dairy Products (Milk based products)",Ahmednagar%Maharashtra,Jowar,Rabi,Rabi,279800,422605,Bajra,Kharif,186000,107700,Sugarcane,Whole Year,122000,11761000
1511,Amar Pratap Singh,2988229605,male,RBL Bank,Maharashtra,Malegaon,Chinchgavan B.O,423105,LOVISH SETHI,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Rice,Rabi,Rabi,15516,423105,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
1512,Gunjan Singh,4845336412,female,YES Bank,Chandigarh,CHANDIGHAR,Airforce Highground SO,160004,LUPIN HUMAN WELFARE AND RESEARCH FOUNDATION FI,Tourism,Chandigarh%Chandigarh,Wheat,Rabi,Rabi,1366000,160004,Rice,Kharif,271000,1281000,Wheat,Rabi,254000,1218000
1513,Pinki,1429091268,male,Bank of Baroda,Punjab,KAPURTHALA,Bhandal Bet BO,144804,M POWER MICROFINANCE Private Limited,Diesel engine and Auto Parts,Kapurthala%Punjab,Rice,Kharif,Kharif,439000,144804,Rapeseed &Mustard,Rabi,1000,1500,Wheat,Rabi,90522,224042
1514,Dipali Damodar Dabbe,3433269967,female,Bank of India,Odisha,NABARANGAPUR,Adhikariguda B.O,764073,M S BALAJI TOLLS,Maize,Nabarangpur%Odisha,Rice,Rabi,Rabi,15516,764073,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
1515,Waghamare Kailas Asaram,8906513098,male,Bank of Maharashtra,Maharashtra,Jalgaon,Abhona S.O,423502,M/s Desiderata Impact Ventures Pvt Ltd (Brand Name - Progcap),"Jalgaon Banana,Plastic PVC Pipes",Jalgaon%Maharashtra,Cotton(lint),Kharif,Kharif,768100,423502,Groundnut,Summer,2400,3100,Wheat,Rabi,90522,224042
1516,Sarabjot Singh,8824198531,male,Canara Bank,Jharkhand,RAMGARH,Argada SO,829101,M/S INTEGRA MICRO SYSTEMS PVT LTD,Silver Jewllery,Ramgarh%Jharkhand,Rice,Rabi,Rabi,15516,829101,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
1517,Sheetal Kashyap,1521685781,male,Central Bank of India,Maharashtra,Malegaon,Aghar KH B.O,423208,M/S New Street Technologies Private Limited,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Rice,Rabi,Rabi,15516,423208,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
1518,Roshni Deshmukh,1489065529,female,Indian Bank,Maharashtra,Malegaon,Malegaon City S.O,423203,M/s Senrysa Technologies Pvt. Ltd.,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Rice,Rabi,Rabi,15516,423203,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
1519,Pranita Murty,3742171165,female,Indian Overseas Bank,Maharashtra,DHULE,Arvi B.O,424006,M/s Shiksha Financial Services India Private Limited,"De-Oiled Cake,Textile",Dhule%Maharashtra,Cotton(lint),Kharif,Kharif,258200,424006,Rice,Winter,276000,623000,Wheat,Rabi,90522,224042
1520,Harashita Gupta,3060741403,female,Punjab and Sind Bank,Bihar,SAMASTIPUR,Gohi Bishanpur BO,848133,M/s Tekplay Systems Limited,"Bamboo Art,Turmeric",Samastipur%Bihar,Wheat,Rabi,Rabi,116642,848133,Other  Rabi pulses,Rabi,20,20,Wheat,Rabi,90522,224042
1521,Aishwarya Gangwani,6852461524,female,Punjab National Bank,Punjab,PATHANKOT,Baknaur BO,143534,M/s United Petro Finance Limited (Brand Name - Kapitaltech),Litchi,Pathankot%Punjab,Wheat,Rabi,Rabi,115000,143534,Sugarcane,Whole Year,4000,253000,Wheat,Rabi,90522,224042
1522,Manya Nigam,1006931772,male,State Bank of India,Bihar,BEGUSARAI,Bagras BO,848201,M/s. ATOM Technologies Limited,"Maize,Chilly",Begusarai%Bihar,Wheat,Rabi,Rabi,64159,848201,Rice,Winter,276000,623000,Wheat,Rabi,90522,224042
1523,Aman Pratap Singh Tomar,5953292124,female,UCO Bank,Punjab,JALANDHAR,Nagra BO,144037,M/s. Sarna Infocom Pvt. Ltd,"Sports Goods,Hand Tools,Honey,Leather",Jalandhar%Punjab,Rice,Kharif,Kharif,616000,144037,Wheat,Rabi,167000,685000,Wheat,Rabi,90522,224042
1524,Subha Singh,9419282157,male,Union Bank of India,Bihar,SAMASTIPUR,Adharpur BO,848130,M2P Solutions Private Limited,"Bamboo Art,Turmeric",Samastipur%Bihar,Wheat,Rabi,Rabi,116642,848130,Other  Rabi pulses,Rabi,20,20,Wheat,Rabi,90522,224042
1525,Pinky Singh,8918064948,male,Axis Bank,Bihar,SAMASTIPUR,Akhtiarpur BO,848127,MAANYASRI FIN SERVE PRIVATE LIMITED,"Bamboo Art,Turmeric",Samastipur%Bihar,Wheat,Rabi,Rabi,116642,848127,Other  Rabi pulses,Rabi,20,20,Wheat,Rabi,90522,224042
1526,Kunika Gupta,8385968363,female,Bandhan Bank,Jharkhand,RAMGARH,Bhadaninagar SO,829105,MAGALIR FINSERV PRIVATE LIMITED,Silver Jewllery,Ramgarh%Jharkhand,Rice,Rabi,Rabi,15516,829105,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
1527,Abhishek Jain,3967687843,female,CSB Bank,Punjab,AMRITSAR,Dahoorian BO,143603,Magnot Consultancy Services Private Limited,"Embroidery,Tourism,Achar-Muraba",Amritsar%Punjab,Wheat,Rabi,Rabi,736000,143603,Sugarcane,Whole Year,4000,301000,Wheat,Rabi,90522,224042
1528,Akanksha Bhadouriya,8355297596,female,City Union Bank,Punjab,JALANDHAR,Athola BO,144002,Mahamritunjay Trade & Technologies Pvt. Ltd.,"Sports Goods,Hand Tools,Honey,Leather",Jalandhar%Punjab,Rice,Kharif,Kharif,616000,144002,Wheat,Rabi,167000,685000,Wheat,Rabi,90522,224042
1529,Pujita Verma,4336219116,male,DCB Bank,Maharashtra,JALGAON,Kurhad B.O,424202,MAHIMA AND CO,"Jalgaon Banana,Plastic PVC Pipes",Jalgaon%Maharashtra,Cotton(lint),Kharif,Kharif,768100,424202,Groundnut,Summer,2400,3100,Wheat,Rabi,90522,224042
1530,Shweta Sonkar,8697674956,female,Dhanlaxmi Bank,Maharashtra,NASHIK,Agaskhind B.O,422502,MALLARPUR NAISUVA,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Bajra,Kharif,Kharif,108900,422502,Safflower,Rabi,100,100,Groundnut,Summer,100,200
1531,Anshika Yadav,2911988740,male,Federal Bank,Maharashtra,NASHIK,Bhojapur B.O,422606,MANAPPURAM FINANCE LIMITED,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Bajra,Kharif,Kharif,108900,422606,Safflower,Rabi,100,100,Groundnut,Summer,100,200
1532,Rahul Kumar Jha,3123058837,male,HDFC Bank,Maharashtra,Malegaon,Bangaon B.O,423106,MANIPAL BUSINESS SOLUTIONS PVT LTD,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Rice,Rabi,Rabi,15516,423106,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
1533,Umme Aiman,2219051703,female,ICICI Bank,Punjab,CHANDIGHAR,IBC CHANDGIARH SO,160005,Manipal Technologies Limited,Tourism,Chandigarh%Chandigarh,Wheat,Rabi,Rabi,1366000,160005,Rice,Kharif,271000,1281000,Cotton(lint),Kharif,13000,51000
1534,Swechchha Dwivedi,9574118220,female,IndusInd Bank,Punjab,JALANDHAR,CRPF Campus Sarai Khas SO,144805,Manoj Kumar,"Sports Goods,Hand Tools,Honey,Leather",Jalandhar%Punjab,Rice,Kharif,Kharif,616000,144805,Wheat,Rabi,167000,685000,Wheat,Rabi,90522,224042
1535,Sameeksha Gupta,7994854611,female,IDFC FIRST Bank,Jharkhand,Ramgarh,Baridih BO,829102,Mapra Advisors,Silver Jewllery,Ramgarh%Jharkhand,Rice,Rabi,Rabi,15516,829102,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
1536,Aayushi Badola,8919856463,female,Karur Vysya Bank,Maharashtra,Malegaon,Chandanpuri B.O,423212,Margdarshak Financial Services Limited,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Rice,Rabi,Rabi,15516,423212,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
1537,Raunak Saini,2169120685,female,Kotak Mahindra Bank,Maharashtra,Malegaon,Ambasan B.O,423204,Mattie Health care & Social welfare Institute,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Rice,Rabi,Rabi,15516,423204,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
1538,Abhishek Pal,5669899728,female,IDBI Bank,Maharashtra,JALGAON,Chalisgaon Adarsha Nagar S.O,424101,MAXIMUS INFOWARE INDIA PVT LTD,"Jalgaon Banana,Plastic PVC Pipes",Jalgaon%Maharashtra,Cotton(lint),Kharif,Kharif,768100,424101,Groundnut,Summer,2400,3100,Wheat,Rabi,90522,224042
1539,Gajendra Mani Pandey,9080189247,male,RBL Bank,Bihar,SAMASTIPUR,Akha Bishanpur BO,848132,MB UNIT OF SOCIO EQUALITY PVT LTD,"Bamboo Art,Turmeric",Samastipur%Bihar,Wheat,Rabi,Rabi,116642,848132,Other  Rabi pulses,Rabi,20,20,Wheat,Rabi,90522,224042
1540,Suni Gupta,6831836560,male,YES Bank,Punjab,AMRITSAR,Bal Khurd BO,143601,MBNK Phygital Financial Marketplace Pvt Ltd,"Embroidery,Tourism,Achar-Muraba",Amritsar%Punjab,Wheat,Rabi,Rabi,736000,143601,Sugarcane,Whole Year,4000,301000,Wheat,Rabi,90522,224042
1541,Mrityunjay Kumar Singh,5559750836,male,Bank of Baroda,Bihar,SAMASTIPUR,Bajitpur Bombaiya BO,848160,MENTOR HOME LOANS INDIA LIMITED,"Bamboo Art,Turmeric",Samastipur%Bihar,Wheat,Rabi,Rabi,116642,848160,Other  Rabi pulses,Rabi,20,20,Wheat,Rabi,90522,224042
1542,Areena,1313614239,male,Bank of India,Punjab,JALANDHAR,Bhallowal BO,144039,Micro Data Service Provider (P) Ltd,"Sports Goods,Hand Tools,Honey,Leather",Jalandhar%Punjab,Rice,Kharif,Kharif,616000,144039,Wheat,Rabi,167000,685000,Wheat,Rabi,90522,224042
1543,Pratik Vijay Salunkhe,8380048791,female,Bank of Maharashtra,Bihar,SAMASTIPUR,Bikrampur Bandey BO,848129,Micro Enterprises & Sustainable Project,"Bamboo Art,Turmeric",Samastipur%Bihar,Wheat,Rabi,Rabi,116642,848129,Other  Rabi pulses,Rabi,20,20,Wheat,Rabi,90522,224042
1544,Vinod Rawat,7106840399,female,Canara Bank,Bihar,SAMASTIPUR,Balhajainarain BO,848125,MindsArray Network Pvt Ltd,"Bamboo Art,Turmeric",Samastipur%Bihar,Wheat,Rabi,Rabi,116642,848125,Other  Rabi pulses,Rabi,20,20,Wheat,Rabi,90522,224042
1545,Kusum,3422609916,female,Central Bank of India,Jharkhand,RAMGARH,Bhurkunda Bazar SO,829106,Mintifi Finserve Ltd.,Silver Jewllery,Ramgarh%Jharkhand,Rice,Rabi,Rabi,15516,829106,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
1546,Ehsaas,2565531785,male,Indian Bank,Punjab,GURDASPUR,Bhagthana Tulian BO,143604,Mobisafar Services Private Limited,"Foundry Cluster,Jaggery",Gurdaspur%Punjab,Wheat,Rabi,Rabi,627000,143604,Rapeseed &Mustard,Rabi,2000,2100,Wheat,Rabi,90522,224042
1547,Prem Singh,2880636252,male,Indian Overseas Bank,Jharkhand,RAMGARH,Banda BO,829110,Money on Mobile,Silver Jewllery,Ramgarh%Jharkhand,Rice,Rabi,Rabi,15516,829110,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
1548,Suresh Ram,7489774018,female,Punjab and Sind Bank,Maharashtra,JALGAON,Chinchapura B.O,424203,Moneyboxx Finance Limited,"Jalgaon Banana,Plastic PVC Pipes",Jalgaon%Maharashtra,Cotton(lint),Kharif,Kharif,768100,424203,Groundnut,Summer,2400,3100,Wheat,Rabi,90522,224042
1549,Sandhya,7924532975,male,Punjab National Bank,Maharashtra,Ahmed Nagar,Agasti SSK B.O,422601,MOON LIGHT INFRA SERVICES,"Cane Sugar,Dairy Products (Milk based products)",Ahmednagar%Maharashtra,Jowar,Rabi,Rabi,279800,422601,Bajra,Kharif,186000,107700,Sugarcane,Whole Year,122000,11761000
1550,Neha Rani,7896350620,male,State Bank of India,Maharashtra,Ahmed Nagar,Maldad B.O,422608,Mos Utility Pvt Ltd,"Cane Sugar,Dairy Products (Milk based products)",Ahmednagar%Maharashtra,Jowar,Rabi,Rabi,279800,422608,Bajra,Kharif,186000,107700,Sugarcane,Whole Year,122000,11761000
1551,Deepak Rohilla,7888804831,male,UCO Bank,Maharashtra,Ahmed Nagar,Astgaon B.O,423107,MOVELL AUTO TECH,"Cane Sugar,Dairy Products (Milk based products)",Ahmednagar%Maharashtra,Jowar,Rabi,Rabi,279800,423107,Bajra,Kharif,186000,107700,Sugarcane,Whole Year,122000,11761000
1552,Praphull Vikas Nikam,8567097981,female,Union Bank of India,Punjab,CHANDIGHAR,Sector 8Chandgarh SO,160009,MPCON Ltd,Tourism,Chandigarh%Chandigarh,Wheat,Rabi,Rabi,1366000,160009,Rice,Kharif,271000,1281000,Cotton(lint),Kharif,13000,51000
1553,Varsha Prakash,4894423909,male,Axis Bank,Punjab,JALANDHAR,Khusropur BO,144806,MULTINANCE INDIA,"Sports Goods,Hand Tools,Honey,Leather",Jalandhar%Punjab,Rice,Kharif,Kharif,616000,144806,Wheat,Rabi,167000,685000,Wheat,Rabi,90522,224042
1554,Ritesh Kumar Srivastava,7245493849,male,Bandhan Bank,Punjab,JALANDHAR,Chak Kalan BO,144042,MUTHOOT FINANCE LIMITED,"Sports Goods,Hand Tools,Honey,Leather",Jalandhar%Punjab,Rice,Kharif,Kharif,616000,144042,Wheat,Rabi,167000,685000,Wheat,Rabi,90522,224042
1555,Anit,6270556712,male,CSB Bank,Maharashtra,Malegaon,Brahmangaon B.O,423213,MV E COMMERCE SERVICES PVT LTD,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Rice,Rabi,Rabi,15516,423213,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
1556,Anshul Patidar,5143044633,male,City Union Bank,Maharashtra,Malegaon,Astane B.O,423205,MyRoots Rural Business Centres Private Limited,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Rice,Rabi,Rabi,15516,423205,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
1557,Naveen Verma,6460299758,female,DCB Bank,Maharashtra,JALGAON,Hingona Kh B.O,424102,NABADIGANTA SERVICE COOPERATIVE SOCIETY LTD,"Jalgaon Banana,Plastic PVC Pipes",Jalgaon%Maharashtra,Cotton(lint),Kharif,Kharif,768100,424102,Groundnut,Summer,2400,3100,Wheat,Rabi,90522,224042
1558,Akshay Verma,4478260867,male,Dhanlaxmi Bank,Bihar,SAMASTIPUR,Kubouliram BO,848131,NAVACHETANA MICROFIN SERVICES PRIVATE LIMITED,"Bamboo Art,Turmeric",Samastipur%Bihar,Wheat,Rabi,Rabi,116642,848131,Other  Rabi pulses,Rabi,20,20,Wheat,Rabi,90522,224042
1559,Ritik Vikram Singh,1819763050,male,Federal Bank,Punjab,GURDASPUR,Fatehgarh Churian SO,143602,Navnit Chetana Mandal (NCM),"Foundry Cluster,Jaggery",Gurdaspur%Punjab,Wheat,Rabi,Rabi,627000,143602,Rapeseed &Mustard,Rabi,2000,2100,Wheat,Rabi,90522,224042
1560,Raja Kumar,3333814623,female,HDFC Bank,Maharashtra,Jalgaon,Garkheda B.O,424206,Nearby Technologies Pvt Ltd,"Jalgaon Banana,Plastic PVC Pipes",Jalgaon%Maharashtra,Cotton(lint),Kharif,Kharif,768100,424206,Groundnut,Summer,2400,3100,Wheat,Rabi,90522,224042
1561,Shruti,1105321161,male,ICICI Bank,Punjab,JALANDHAR,Bara Sidhpur BO,144040,Neo Leaf  M/s BRICK EAGLE AFFORDABLE HOUSING FINANCE LIMITED,"Sports Goods,Hand Tools,Honey,Leather",Jalandhar%Punjab,Rice,Kharif,Kharif,616000,144040,Wheat,Rabi,167000,685000,Wheat,Rabi,90522,224042
1562,Prerna Deorah,2109149300,male,IndusInd Bank,Maharashtra,Jalgaon,Dondwade B.O,424204,New Opportunity Consultancy Private Limited,"Jalgaon Banana,Plastic PVC Pipes",Jalgaon%Maharashtra,Cotton(lint),Kharif,Kharif,768100,424204,Groundnut,Summer,2400,3100,Wheat,Rabi,90522,224042
1563,Anupriya Srivastava,5405616795,female,IDFC FIRST Bank,Maharashtra,Ahmed Nagar,Ambhol B.O,422610,Next Vision,"Cane Sugar,Dairy Products (Milk based products)",Ahmednagar%Maharashtra,Jowar,Rabi,Rabi,279800,422610,Bajra,Kharif,186000,107700,Sugarcane,Whole Year,122000,11761000
1564,Krishna Parashar,7393830718,male,Karur Vysya Bank,Maharashtra,Malegaon,Ravalgaon S.O,423108,NextRu Livelihoods Private Limited,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Rice,Rabi,Rabi,15516,423108,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
1565,Jyoti Verma,1224483349,female,Kotak Mahindra Bank,Bihar,SAMASTIPUR,Chakpahar BO,848122,Nextzen FI-Tech Privaye Ltd,"Bamboo Art,Turmeric",Samastipur%Bihar,Wheat,Rabi,Rabi,116642,848122,Other  Rabi pulses,Rabi,20,20,Wheat,Rabi,90522,224042
1566,Nitin Shakya,1645434649,male,IDBI Bank,Punjab,KAPURTHALA,Ibrahimwal BO,144819,NICT Technologies Pvt Ltd,Diesel engine and Auto Parts,Kapurthala%Punjab,Rice,Kharif,Kharif,439000,144819,Rapeseed &Mustard,Rabi,1000,1500,Wheat,Rabi,90522,224042
1567,Nitin Rughani,3501605548,male,RBL Bank,Bihar,DARBHANGA,Bhataura BO,847306,Nineroot technologies,"Makhana,Madhubhani Paintings,Terracotta",Darbhanga%Bihar,Wheat,Rabi,Rabi,89175,847306,Rice,Winter,276000,623000,Wheat,Rabi,90522,224042
1568,Khileshwari Dhurwe,2765617430,female,YES Bank,Delhi,NEW DELHI,Gurgaon Road SO,110037,Non Corporate Bc,Bakery Products,New Delhi%Delhi,Maize,Rabi,Rabi,47347,110037,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
1569,Rishabh Tripathi,7685784480,male,Bank of Baroda,Haryana,GURGAON,Kasan BO,122051,Novopay,"Textile and Apparels,Enginerring Goods",Gurugram%Haryana,Maize,Rabi,Rabi,47347,122051,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
1570,Mukesh Kumar Giri,3428813569,male,South Indian Bank,Telangana,ADILABAD,Akoli B.O,504309,Novopay Solutions Private Limited,Cotton Bales,Adilabad%Telangana,Cotton(lint),Kharif,Kharif,573033,504309,Other  Rabi pulses,Rabi,12,4,Wheat,Rabi,90522,224042
1571,Dhananjay Mathur,6307894024,female,Bank of Maharashtra,Bihar,MADHEPURA,Belari BO,852114,Oasys Cybernectics Pvt Ltd,"Bamboo Art,Mango",Madhepura%Bihar,Rice,Winter,Winter,117196,852114,Bajra,Kharif,12,14,Groundnut,Kharif,12,12
1572,Harshita Choutel,7658450609,male,Canara Bank,Himachal Pradesh,SHIMLA,Bholad BO,171216,OASYS ONE STOP SOLUTION PRIVATE LIMITED,Tourism,Shimla%Himachal Pradesh,Rice,Rabi,Rabi,15516,171216,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
1573,Ashu Chaudhary,7512927746,female,Central Bank of India,Odisha,MALKANGIRI,Badigeta B.O,764045,ODISHA,"Millets,Granite Slab,Turmeric,Processed Fish",Malkangiri%Odisha,Rice,Winter,Winter,165000,764045,Rice,Winter,276000,623000,Wheat,Rabi,90522,224042
1574,Rajni Kant Suman,8293699395,male,South Indian Bank,Telangana,NIRMAL,Bansapalli B.O,504306,ODISHA LIVELIHOODS MISSION NRUM,Cotton Bales,Nirmal%Telangana,Rice,Rabi,Rabi,15516,504306,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
1575,Saumya Singh,6684621711,male,Indian Overseas Bank,Odisha,KORAPUT,A.Malkangiri B.O,764021,ORANGE E SEVA PVT LTD,Cashew,Koraput%Odisha,Rice,Winter,Winter,191000,764021,Rice,Winter,276000,623000,Wheat,Rabi,90522,224042
1576,Mrutyunjaya Nayak,2166746440,male,Punjab and Sind Bank,Himachal Pradesh,KINNAUR,Bari BO,172115,ORIEL FINANCIAL SOLUTION PVT LTD,Oil - Himachali Chulli,Kinnaur%Himachal Pradesh,Rice,Rabi,Rabi,15516,172115,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
1577,Harsha Sahu,6898924820,female,Punjab National Bank,Punjab,HOSHIARPUR,Chak Sadu BO,146110,ORIGO FINANCE PRIVATE LIMITED,"Tractor &  parts,Plywood Inlay Products",Hoshiarpur%Punjab,Wheat,Rabi,Rabi,540000,146110,Masoor,Rabi,1000,500,Wheat,Rabi,90522,224042
1578,Shiv Shankar Prajapati,2391965518,female,State Bank of India,Punjab,FIROZPUR,Bare Ke BO,152002,Orocorp Technologies Private Limited,"Basmati (Rice),Chillies",Ferozepur%Punjab,Rice,Rabi,Rabi,15516,152002,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
1579,Ravindra Singh Sikarwar,1303313311,female,UCO Bank,Maharashtra,Malegaon,Ajmer Saundana B.O,423301,Osiris Infotech Pvt. Ltd,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Rice,Rabi,Rabi,15516,423301,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
1580,MD Faisal,8586297389,female,Union Bank of India,Maharashtra,Malegaon,Chinchave Galane B.O,423206,Oswal Computers and Consultants Pvt Ltd,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Rice,Rabi,Rabi,15516,423206,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
1581,Kishan Kumar Gupta,7793692123,female,Axis Bank,Maharashtra,JALGAON,Gondgaon B.O,424103,Oxigen,"Jalgaon Banana,Plastic PVC Pipes",Jalgaon%Maharashtra,Cotton(lint),Kharif,Kharif,768100,424103,Groundnut,Summer,2400,3100,Wheat,Rabi,90522,224042
1582,Mayank Wanwani,8883180820,female,Bandhan Bank,Odisha,NABARANGAPUR,Amlabhata B.O,764049,OXIGEN SERVICES INDIA PVT LTD,Maize,Nabarangpur%Odisha,Rice,Rabi,Rabi,15516,764049,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
1583,Shivam Tiwari,2982007460,male,CSB Bank,Jharkhand,RAMGARH,Barkakana NTS SO,829103,P2P MICROFINANCE AND ALLIED SERVIC,Silver Jewllery,Ramgarh%Jharkhand,Rice,Rabi,Rabi,15516,829103,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
1584,Sashikanta Sethi,3014865957,female,City Union Bank,Maharashtra,Jalgaon,Loni B.O,424207,PAFT Finance Ltd,"Jalgaon Banana,Plastic PVC Pipes",Jalgaon%Maharashtra,Cotton(lint),Kharif,Kharif,768100,424207,Groundnut,Summer,2400,3100,Wheat,Rabi,90522,224042
1585,Madhvi Malviya,6566088701,female,DCB Bank,Punjab,JALANDHAR,Adarman BO,144041,PAFT Inclusive Financial Services Pvt. Ltd.,"Sports Goods,Hand Tools,Honey,Leather",Jalandhar%Punjab,Rice,Kharif,Kharif,616000,144041,Wheat,Rabi,167000,685000,Wheat,Rabi,90522,224042
1586,Shweta Chourasiya,7878509401,male,Dhanlaxmi Bank,Maharashtra,Ahmed Nagar,Chincholi Gurav B.O,422611,Pahal Financial Services Pvt. Ltd,"Cane Sugar,Dairy Products (Milk based products)",Ahmednagar%Maharashtra,Jowar,Rabi,Rabi,279800,422611,Bajra,Kharif,186000,107700,Sugarcane,Whole Year,122000,11761000
1587,Manish Kumar Pal,7865543240,female,Federal Bank,Maharashtra,Ahmed Nagar,Laxmiwadi B.O,423109,PAISALO DIGITAL LIMITED,"Cane Sugar,Dairy Products (Milk based products)",Ahmednagar%Maharashtra,Jowar,Rabi,Rabi,279800,423109,Bajra,Kharif,186000,107700,Sugarcane,Whole Year,122000,11761000
1588,Gurwinder Singh,3200315830,male,HDFC Bank,Bihar,SAMASTIPUR,Gangapur BO,848121,PANKAJ JHA,"Bamboo Art,Turmeric",Samastipur%Bihar,Wheat,Rabi,Rabi,116642,848121,Other  Rabi pulses,Rabi,20,20,Wheat,Rabi,90522,224042
1589,Nidhi Shreya,6706952775,female,ICICI Bank,Punjab,PATHANKOT,Abrol Nagar Pathankot SO,145001,PANOBIZ BUSINESS TECHNOLOGIES PVT LTD.,Litchi,Pathankot%Punjab,Wheat,Rabi,Rabi,115000,145001,Sugarcane,Whole Year,4000,253000,Wheat,Rabi,90522,224042
1590,Sharnpreet Kaur,1372395561,male,IndusInd Bank,Jharkhand,BOKARO,Kathara SO,829116,PARAM PEOPLE INFOTECH SOLUTIONS PVT LTD,Woodcraft,Bokaro%Jharkhand,Maize,Rabi,Rabi,47347,829116,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
1591,Priya Anurag Zade,8245614006,female,IDFC FIRST Bank,Odisha,NABARANGAPUR,Bharsundi B.O,764074,PARIBARTAN,Maize,Nabarangpur%Odisha,Rice,Rabi,Rabi,15516,764074,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
1592,Abhishek Singh Thakur,9800144096,female,Karur Vysya Bank,Punjab,ROPAR,Baddi Jhallian BO,140111,PARIN TEX,"Kinnow,Honey,Potato,Maize",Rupnagar%Punjab,Rice,Rabi,Rabi,15516,140111,Rice,Summer,4005,14518,Rice,Kharif,2942,10041
1593,Aarti Vishnu Dalvi,7863253111,female,Kotak Mahindra Bank,Delhi,WEST DELHI,Jwala Puri S.O,110087,Parviom Technologies Private Limited,Furniture items,West%Delhi,Maize,Rabi,Rabi,47347,110087,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
1594,Waseem Akram,6358653892,female,IDBI Bank,Punjab,LUDHIANA,PAU SO,141004,PAY POINT INDIA NETWORK PVT LTD,"Readymade Garments,Engineering Goods",Ludhiana%Punjab,Rice,Kharif,Kharif,1119000,141004,Peas & beans (Pulses),Rabi,3000,4500,Sugarcane,Whole Year,3000,258000
1595,Bharat Kumar Rajput,4286222059,male,RBL Bank,Bihar,KHAGARIA,Bandehra BO,851212,Payin Solution Pvt Ltd,"Banana,Bamboo Art,Maize",Khagaria%Bihar,Maize,Rabi,Rabi,119465,851212,Rice,Winter,276000,623000,Wheat,Rabi,90522,224042
1596,Imran Rafiq Shaikh,8998832206,male,YES Bank,Delhi,NEW DELHI,A F Rajokari SO,110038,Payone,Bakery Products,New Delhi%Delhi,Maize,Rabi,Rabi,47347,110038,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
1597,Krishna Kumar Gautam,2025863147,female,Bank of Baroda,Haryana,GURGAON,IMT Manesar SO,122052,Paypoint,"Textile and Apparels,Enginerring Goods",Gurugram%Haryana,Maize,Rabi,Rabi,47347,122052,Moong(Green Gram),Rabi,90246,1527,Rice,Rabi,2942,10041
