S.No,Name of BC,Contact Number,Gender,State,District ,Office Name,Pincode,Corporate BC name,ODOP product,CODE WORD OF PRODUCT LIST,CROP1 NAME,CROP1 SEASON,CROP1 PRODUCTION
1723,Jitendra Kumar Rathaur,9292204745,male,Jharkhand,LATEHAR,Balubhang BO,829202,The Government Secretariat Staff Co-operative Society - Thiruvananthapuram,Mahua,Latehar%Jharkhand,Rice,Rabi,15516
1724,Shobhanand Kumar,9225448552,female,Punjab,HOSHIARPUR,Begumpur Jandiala BO,146115,THE INSTITUTE OF ENTREPRENEURSHIP DEVELOPMENT,"Tractor &  parts,Plywood Inlay Products",Hoshiarpur%Punjab,Wheat,Rabi,540000
1725,Rajatjyoti Chakraborty,7523337974,female,Punjab,FIROZPUR,Arif Ke BO,152021,To Two Corporation,"Basmati (Rice),Chillies",Ferozepur%Punjab,Rice,Rabi,15516
1726,Yash Wadhwa,3440974274,female,Punjab,LUDHIANA,Bhanohar BO,141102,TRANSCORP INTERNATIONAL LIMITED,"Readymade Garments,Engineering Goods",Ludhiana%Punjab,Rice,Kharif,1119000
1727,Akshay Saini,8106556665,male,Jharkhand,EAST SINGHBHUM,Golmuri SO,831003,Transerv Private Limited,Paithkar Painting,Jamshedpur (East Singhbhum)%Jharkhand,Rice,Winter,820981
1728,Maulikkumar Maheshbhai Maheta,5527226447,male,Maharashtra,JALGAON,Brahmanshevge B.O,424108,TransTrac Technology Services Private Limited,"Jalgaon Banana,Plastic PVC Pipes",Jalgaon%Maharashtra,Cotton(lint),Kharif,768100
1729,Namrata Sunil Surve,6682939143,male,Maharashtra,DHULE,Boris B.O,424307,Twinstar Industries Ltd.,"De-Oiled Cake,Textile",Dhule%Maharashtra,Cotton(lint),Kharif,258200
1730,Shaikh Muskanbanu,1051686268,male,Jharkhand,BOKARO,Barkipunu BO,829112,UDAN Global LLP,Woodcraft,Bokaro%Jharkhand,Maize,Rabi,47347
1731,Rohit Bhargava,7420749777,male,Jammu and Kashmir,KATHUA,Babia BO,184148,Ugro Capital Limited,"Basholi Pashmina,Basohli Painting",Kathua%Jammu & Kashmir,Rice,Kharif,51180
1732,Priya Gupta,9007914058,male,Jharkhand,SERAIKELAKHARSAWAN,Hudu BO,832402,UNITED TELECOMS E-SERVICES Pvt Ltd,Kharsawan Silk,Saraikela- Kharsawan%Jharkhand,Rice,Rabi,15516
1733,Navjot Singh,1197951735,female,Bihar,SAMASTIPUR,Basudeopur BO,848102,UPICO,"Bamboo Art,Turmeric",Samastipur%Bihar,Wheat,Rabi,116642
1734,Sarika,6299178377,male,Bihar,EAST CHAMPARAN,Bairiadih BO,845435,V K Venture Pvt. Ltd.,"Seep Buttons,Shahi Litchi,Bags & Garments",East Champaran%Bihar,Wheat,Rabi,87581
1735,Narinder Singh,7104919017,male,Odisha,RAYAGADA,Antamoda B.O,765017,V SQUARE TECH,"Cotton,Tamarind",Rayagada%Odisha,Rice,Winter,161000
1736,Ravi Tiwari,6246511308,female,Odisha,GAJAPATI,Aligonda B.O,761217,VA CSC PRIVATE LIMITED,"Cashew Carnel,Granite Slab,Turmeric Oil",Gajapati%Odisha,Rice,Winter,55000
1737,Pawnesh Kumar,6429982065,male,Jharkhand,BOKARO,Hazari BO,829128,Vakrangee Limited,Woodcraft,Bokaro%Jharkhand,Maize,Rabi,47347
1738,Rakhi Jha,7681229655,female,Delhi,SOUTH WEST DELHI,Nangal Raya S.O,110046,VAKRANGHEE FINSERV LIMITED,Milk Based Product,South-West%Delhi,Maize,Rabi,47347
1739,Mukund Rajbhar,9380628919,male,Punjab,ROPAR,Jhinjari BO,140116,VANKAL AGRI SOLUTIONS PRIVATE LIMITED,"Kinnow,Honey,Potato,Maize",Rupnagar%Punjab,Rice,Rabi,15516
1740,Rahul Joshi,5486155446,female,Delhi,EAST DELHI,Anand Vihar SO,110092,Varam,Tourism,East%Delhi,Maize,Rabi,47347
1741,Ashutosh Bhandari,3512170527,male,Punjab,LUDHIANA,Rajguru Nagar SO,141012,Vaya Finserv Private Limited,"Readymade Garments,Engineering Goods",Ludhiana%Punjab,Rice,Kharif,1119000
1742,Krishna Singh Bhojak,8101983226,female,Haryana,YAMUNANAGAR,Bhatia Nagar S.O,135001,VECTOR FINANCE PVT LTD,"Plywood,Metal Utensils",Yamunanagar%Haryana,Maize,Rabi,47347
1743,Koushik Malik,2412881456,female,Delhi,WEST DELHI,Arjun Park PO,110043,VEDANT ASSET PRIVATE LIMITED,Furniture items,West%Delhi,Maize,Rabi,47347
1744,Sk Sirajul,7326098874,female,Haryana,MEWAT,Agon BO,122104,VEDAVAAG SYSTEMS LIMITED,"Apparels,Food Processing",Mewat%Haryana,Maize,Rabi,47347
1745,Rojalin Das,9510594598,female,Jharkhand,RAMGARH,Balkudra SO,829143,VEDIKA CORPORATION,Silver Jewllery,Ramgarh%Jharkhand,Rice,Rabi,15516
1746,Amisha Raju Kadu,2535136804,male,Jammu and Kashmir,JAMMU,Airwan BO,184151,VEE TECHNOLOGIES,Basmati Rice,Jammu%Jammu & Kashmir,Rice,Kharif,116969
1747,Chandra Bhan,7178533751,male,Odisha,KALAHANDI,Basantapada B.O,766027,VELICHAM FINANCE PRIVATE LIMITED,Handicraft (Wood Carving),Kalahandi%Odisha,Rice,Winter,338000
1748,Parsa Ram Kumawat,7049576403,male,Jammu and Kashmir,KATHUA,Basantpur BO,184152,VENTURE SUPPLY CHAIN PVT LTD,"Basholi Pashmina,Basohli Painting",Kathua%Jammu & Kashmir,Rice,Kharif,51180
1749,Prabin Prajapati,6683082444,male,Jammu and Kashmir,KATHUA,Banjal BO,184201,Vidcom Business Solution Private Limited,"Basholi Pashmina,Basohli Painting",Kathua%Jammu & Kashmir,Rice,Kharif,51180
1750,Arshee Parween,5951975419,female,Telangana,WARANGAL,Bavopet B.O,505101,VIDUAL COMMUNICATIONS INDIA PVT LTD,Warangal Durries,Warangal Rural%Telangana,Cotton(lint),Kharif,607705
1751,Saurabh Kumar Badiyar,2662600000,female,Punjab,PATIALA,Allowal BO,147006,VIKALP MULTI MEDIA FUND SETTLEMENT,Embroidery Fabric-Phulkari,Patiala%Punjab,Wheat,Rabi,1024000
1752,Arati Kumari Prasad,4884973860,male,Jharkhand,LATEHAR,Aan BO,829203,VILLAGE FINANCIAL SERVICES LIMITED,Mahua,Latehar%Jharkhand,Rice,Rabi,15516
1753,Shrabani Jena,2254142463,male,Punjab,HOSHIARPUR,Ghorewaha BO,146116,Vinrak  Technologies pvt ltd,"Tractor &  parts,Plywood Inlay Products",Hoshiarpur%Punjab,Wheat,Rabi,540000
1754,Akshay,8943090861,male,Punjab,FIROZPUR,Ahmad Dhandi BO,152022,Viren Business Solution Private Limited,"Basmati (Rice),Chillies",Ferozepur%Punjab,Rice,Rabi,15516
1755,Vipin Sehrawat,7106817798,male,Punjab,LUDHIANA,Khandur BO,141103,Virinchi Limited,"Readymade Garments,Engineering Goods",Ludhiana%Punjab,Rice,Kharif,1119000
1756,Sweety Diwakar Gudadhe,4890886793,male,Jharkhand,EAST SINGHBHUM,Chhota Govindpur BO,831004,VIRTUAL GALAXY INFOTECH PVT LTD,Paithkar Painting,Jamshedpur (East Singhbhum)%Jharkhand,Rice,Winter,820981
1757,Fahad Sabir,4746892515,male,Maharashtra,Malegaon,Chandora B.O,424109,Visionindia Software Exports,"Grapes/ Raisins,Paithani Sarees",Nashik%Maharashtra,Rice,Rabi,15516
1758,Neha Sharad,7330460222,female,Maharashtra,DHULE,Borkund B.O,424308,VIVEKANANDA INSTITUTE OF BIOTECHNOL,"De-Oiled Cake,Textile",Dhule%Maharashtra,Cotton(lint),Kharif,258200
1759,Thamleshwar Kumar Sahu,6770314739,female,Delhi,NORTH DELHI,Aruna Nagar SO,110054,WeGrow Financial Services Private Limited,Light engineering goods,North%Delhi,Maize,Rabi,47347
1760,Aakash Joshi,8480377109,female,Punjab,ROPAR,Bass Bhabour BO,140126,Weizmann,"Kinnow,Honey,Potato,Maize",Rupnagar%Punjab,Rice,Rabi,15516
1761,Pradip Kumar Pandit,9126554079,female,Jharkhand,EAST SINGHBHUM,Choura BO,832403,Weizmann Impex Service Enterprise Ltd,Paithkar Painting,Jamshedpur (East Singhbhum)%Jharkhand,Rice,Winter,820981
1762,Prabhat Kumar Singh,3209344322,female,Bihar,SAMASTIPUR,BAiloth BO,848101,Wisedrive Technologies Pvt Ltd,"Bamboo Art,Turmeric",Samastipur%Bihar,Wheat,Rabi,116642
1763,Pravin Jawahar Maddheshiya,2304509568,male,Bihar,EAST CHAMPARAN,Bahuarwa Gopi Singh BO,845436,Writer Business Services Private Limited,"Seep Buttons,Shahi Litchi,Bags & Garments",East Champaran%Bihar,Wheat,Rabi,87581
1764,Sulabh Mishra,8245392033,male,Odisha,RAYAGADA,Buduni B.O,765018,YASHWANT KUMAR KUMAWAT,"Cotton,Tamarind",Rayagada%Odisha,Rice,Winter,161000
1765,Sudhanshu Rawat,3599310287,male,Odisha,KANDHAMAL,Madikunda S.O,762001,Yellow Fintech Private Limited,Turmeric,Kandhamal%Odisha,Rice,Winter,73000
1766,Sonu Singh Tomar,1617477202,female,Jharkhand,BOKARO,Tenughat Dam SO,829129,ZERO MICRO FINANCE SAVINGS SUPPORT FOUNDA-TRUST RETENA,Woodcraft,Bokaro%Jharkhand,Maize,Rabi,47347
1767,Lambodhari Sumit,3472431083,male,Delhi,SOUTH DELHI,Arjungarh SO,110047,Zest money (M/s Camden Town Technologies Pvt Ltd),"Tourism (Medical & Religious),Hospitality Services",South%Delhi,Maize,Rabi,47347
1768,Avinash Dattatray Walzade,7188993901,male,Punjab,RUPNAGAR,Barwa BO,140117,ZOOM CONNECT SERVICES ASSAM PRIVATE (ARTH RURAL CONNECT SERVICES PVT LTD),"Kinnow,Honey,Potato,Maize",Rupnagar%Punjab,Wheat,Rabi,266000
1769,Vikas Kumar Tiwari,3060944246,female,Delhi,NORTH EAST DELHI,Harsh Vihar SO,110093,ZUBAR ENTERPRISES,Bakery Products,North-East%Delhi,Maize,Rabi,47347
1770,Bhole Nath Singh Bisht,2164936054,female,Punjab,LUDHIANA,Basant Avenue SO,141013,2DO TECHNOLOGIES PRIVATE LIMITED,"Readymade Garments,Engineering Goods",Ludhiana%Punjab,Rice,Kharif,1119000
1771,Navpreet Singh,6813351680,male,Haryana,YAMUNANAGAR,Aurangabad B.O,135002,Aarambh Technical Services Pvt Ltd,"Plywood,Metal Utensils",Yamunanagar%Haryana,Maize,Rabi,47347
1772,Priya Rana,2481214251,male,Delhi,SOUTH DELHI,Badarpur SO South Delhi,110044,Abhimanyoo Business Private Limited,"Tourism (Medical & Religious),Hospitality Services",South%Delhi,Maize,Rabi,47347
1773,Arpita Nayak,7897754585,male,Haryana,MEWAT,Baghanki BO,122105,Abhipra Capital Ltd,"Apparels,Food Processing",Mewat%Haryana,Maize,Rabi,47347
1774,Kajal Padhy,3678705831,female,Jharkhand,BOKARO,Argamo BO,829144,ABHISHI INFOSYSTEMS PVT LTD,Woodcraft,Bokaro%Jharkhand,Maize,Rabi,47347
1775,Twinkle Baghasingh,9723667713,male,Bihar,DARBHANGA,Banauli BO,847428,ABSOLUTE RELIABLE SERVICES,"Makhana,Madhubhani Paintings,Terracotta",Darbhanga%Bihar,Wheat,Rabi,89175
1776,Changela Ami Shirishbhai,5379073145,female,Odisha,KALAHANDI,Ampani S.O,766028,Aceware FinTech Services Pvt Ltd,Handicraft (Wood Carving),Kalahandi%Odisha,Rice,Winter,338000
1777,Manu Dutta,4304226019,female,Bihar,DARBHANGA,Kusothar SO,847429,Achariya Technologies Pvt Ltd.,"Makhana,Madhubhani Paintings,Terracotta",Darbhanga%Bihar,Wheat,Rabi,89175
1778,Adityashish,8171456678,male,Punjab,PATIALA,Balbera BO,147101,Actas Technologies Pvt Ltd.,Embroidery Fabric-Phulkari,Patiala%Punjab,Wheat,Rabi,1024000
1779,Anmol,9479487217,female,Bihar,SUPAUL,Barhara,847452,Adhikar,"Lac Bangles,Makhana",Supaul%Bihar,Rice,Winter,149839
1780,Nityanand Kushwaha,7059508398,male,Punjab,PATIALA,Dakala BO,147007,ADHIKAR MICRO FINANCE PVT LTD.,Embroidery Fabric-Phulkari,Patiala%Punjab,Wheat,Rabi,1024000
1781,Myakala Srinivas,9504636434,female,Jharkhand,LATEHAR,Baresandh BO,829204,ADVANCE POWER SOLUTION,Mahua,Latehar%Jharkhand,Rice,Rabi,15516
1782,Praveen Lalchand Swami,4837563266,female,Punjab,PATIALA,Bahera Road Patiala SO,147001,Agile Finserv Private Limited,Embroidery Fabric-Phulkari,Patiala%Punjab,Wheat,Rabi,1024000
1783,Mayank Varshney,5240213667,female,Punjab,FIROZPUR,Chhanga Khurd BO,152023,Agora Microfinance India Ltd,"Basmati (Rice),Chillies",Ferozepur%Punjab,Rice,Rabi,15516
1784,Gourav Singh,4272460556,female,Punjab,LUDHIANA,Akalgarh BO,141104,Agratam India Social Ventures Pvt Ltd,"Readymade Garments,Engineering Goods",Ludhiana%Punjab,Rice,Kharif,1119000
1785,Mansi Gaba,7209450420,female,Jharkhand,EAST SINGHBHUM,Kadma SO,831005,Agriwise Finserv Ltd.,Paithkar Painting,Jamshedpur (East Singhbhum)%Jharkhand,Rice,Winter,820981
1786,Hari Sharan Sahu,1011105912,male,Punjab,GURDASPUR,Dharowali BO,143605,AGROSERVE GLOBAL TECHNOLOGIES PRIVATE LIMITED,"Foundry Cluster,Jaggery",Gurdaspur%Punjab,Wheat,Rabi,627000
1787,Vikrant Kumar Singh,4796533258,male,Maharashtra,DHULE,Gorane B.O,424309,Agrosperity Tech Solutions Pvt. Ltd.,"De-Oiled Cake,Textile",Dhule%Maharashtra,Cotton(lint),Kharif,258200
1788,Archana Singh,5112448637,male,Delhi,CENTRAL DELHI,AKMarket SO,110055,Aimra Corporation Pvt Ltd,Delhi-6 Products including Tourism,Central%Delhi,Maize,Rabi,47347
1789,Sharma Vaibhav,1101887354,female,Punjab,ROPAR,Bhallan B.O,140127,Airan Limited,"Kinnow,Honey,Potato,Maize",Rupnagar%Punjab,Rice,Rabi,15516
1790,Sunny,5831790099,male,Jharkhand,SERAIKELAKHARSAWAN,Bandu BO,832404,Airpay Payment Services Private Limited,Kharsawan Silk,Saraikela- Kharsawan%Jharkhand,Rice,Rabi,15516
1791,Abhijeet Digambar Hatekar,1411046742,male,Punjab,LUDHIANA,Abbowal BO,141105,Airtel Payment Bank Ltd,"Readymade Garments,Engineering Goods",Ludhiana%Punjab,Rice,Kharif,1119000
1792,Rajnish Kumar,6574656916,female,Bihar,EAST CHAMPARAN,Baharupia BO,845437,AISECT,"Seep Buttons,Shahi Litchi,Bags & Garments",East Champaran%Bihar,Wheat,Rabi,87581
1793,Sheetal Parihar,1506291820,female,Odisha,RAYAGADA,B.Gotiguda B.O,765019,AKOVA FINTECH SOLUTIONS PRIVATE LIMITED,"Cotton,Tamarind",Rayagada%Odisha,Rice,Winter,161000
1794,Suhani Saxena,8807739546,female,Odisha,KANDHAMAL,Balandapada B.O,762002,Aksh & Uttara Solutions,Turmeric,Kandhamal%Odisha,Rice,Winter,73000
1795,Chitranshi Saxena,5118721731,male,Jharkhand,RAMGARH,Prc SO,829130,Aksh optifibre,Silver Jewllery,Ramgarh%Jharkhand,Rice,Rabi,15516
1796,Jayant Khatri,4488202198,male,Delhi,SOUTH DELHI,Greater Kailash SO,110048,Akshada Management Services Pvt Ltd,"Tourism (Medical & Religious),Hospitality Services",South%Delhi,Maize,Rabi,47347
1797,Mansi Arora,6564810330,male,Punjab,ROPAR,Agampur BO,140118,Alankit Ltd.,"Kinnow,Honey,Potato,Maize",Rupnagar%Punjab,Rice,Rabi,15516
1798,Rajesh Singh,5012017105,male,Delhi,NORTH EAST DELHI,Dayalpur BO,110094,Ambarish Parekh,Bakery Products,North-East%Delhi,Maize,Rabi,47347
1799,Tanya Indoria,3883338470,female,Punjab,LUDHIANA,Daba Road SO,141014,AMBITION SERVICES PRIVATE LIMITED,"Readymade Garments,Engineering Goods",Ludhiana%Punjab,Rice,Kharif,1119000
1800,Ram Khiladi,6882228616,male,Haryana,YAMUNANAGAR,Balchhapar B.O,135003,AMIT ENTERPRISE,"Plywood,Metal Utensils",Yamunanagar%Haryana,Maize,Rabi,47347
1801,Anuj Chauhan,5279492153,female,Delhi,SOUTH WEST DELHI,Dabri B.O,110045,Apna Payments Services Private Limited,Milk Based Product,South-West%Delhi,Maize,Rabi,47347
1802,Vivek Prasad,4469462561,male,Haryana,MEWAT,Akhera BO,122107,Appan Dukan Marketing and Services Pvt. Ltd.,"Apparels,Food Processing",Mewat%Haryana,Maize,Rabi,47347
1803,Ratul Hazra,5936831068,male,Jharkhand,BOKARO,TTPSLalpania SO,829149,ARM COMMERCIAL SERVICES PVT LTD,Woodcraft,Bokaro%Jharkhand,Maize,Rabi,47347
1804,Manpreet Kaur Minhas,8742754833,female,Odisha,KALAHANDI,Bandhagaon B.O,766029,ARMEE TECHNOLOGY SERVICES PVT LTD,Handicraft (Wood Carving),Kalahandi%Odisha,Rice,Winter,338000
1805,Shrutismita Tripathy,7144034867,male,Bihar,SUPAUL,Dagmara,847451,ARREDS TRUST,"Lac Bangles,Makhana",Supaul%Bihar,Rice,Winter,149839
1806,Argha Seal,8187397663,male,Punjab,PATIALA,Chappar BO,147021,Arth Microfinance Private Limited,Embroidery Fabric-Phulkari,Patiala%Punjab,Wheat,Rabi,1024000
1807,Ananda Roy,9462356694,female,Jharkhand,RANCHI,Chama BO,829205,ARYADHAN FINANCIAL SOLUTIONS PVT LTD,Ready Made Garments,Ranchi%Jharkhand,Rice,Rabi,15516
1808,Sk Mirajul Rahaman,5825282078,male,Bihar,EAST CHAMPARAN,Bediban Madhuban BO,845416,ASA International India Microfinance Ltd,"Seep Buttons,Shahi Litchi,Bags & Garments",East Champaran%Bihar,Wheat,Rabi,87581
1809,Sumit Saha,4549953711,male,Jharkhand,EAST SINGHBHUM,Jugsalai SO,831006,ASSM TECHNOLOGY,Paithkar Painting,Jamshedpur (East Singhbhum)%Jharkhand,Rice,Winter,820981
1810,Swagata Paul,3696664718,female,Jharkhand,BOKARO,Arjuwa BO,829121,ASTHANA SOCIETY,Woodcraft,Bokaro%Jharkhand,Maize,Rabi,47347
1811,Harneet Singh,6121146796,male,Maharashtra,DHULE,Behed B.O,424310,Asuja Eserv Pvt Ltd,"De-Oiled Cake,Textile",Dhule%Maharashtra,Cotton(lint),Kharif,258200
1812,Kalpana,4703920995,female,Delhi,NORTH WEST DELHI,Shakur Basti Depot SO,110056,Atyati Technologies Pvt Ltd,Clay products,North-West%Delhi,Maize,Rabi,47347
1813,Shivi Verma,2917171890,male,Punjab,ROPAR,DUMEWAL SO,140128,Augmont Goldtech Private Limited,"Kinnow,Honey,Potato,Maize",Rupnagar%Punjab,Rice,Rabi,15516
1814,Irshad Ali,4359078520,male,Jharkhand,SERAIKELAKHARSAWAN,Amda SO,833101,Aviral Technologies Pvt Ltd,Kharsawan Silk,Saraikela- Kharsawan%Jharkhand,Rice,Rabi,15516
1815,Avinash Malagonda Kondekar,7146460027,male,Punjab,LUDHIANA,Halwara Aerodrome SO,141106,AXESPOINT TECHNOLOGIES,"Readymade Garments,Engineering Goods",Ludhiana%Punjab,Rice,Kharif,1119000
1816,Payal Rani,6980115406,female,Bihar,WEST CHAMPARAN,Alpaha BO,845438,BABA MOTORS,"Marcha Chura,Ready made Garments",West Champaran%Bihar,Sugarcane,Whole Year,9614539
1817,Jyotsna Amar,8467075229,female,Odisha,RAYAGADA,Agula B.O,765020,BALAJI IT TECHNOLOGY SOLUTIONS PRIVATE LTD,"Cotton,Tamarind",Rayagada%Odisha,Rice,Winter,161000
1818,Shashank Gupta,1362481421,male,Odisha,KANDHAMAL,Arabaka B.O,762010,Bankit Services Private Limited,Turmeric,Kandhamal%Odisha,Rice,Winter,73000
1819,Rajbir Gupta,7582270196,female,Jharkhand,RAMGARH,Src SO,829131,Baroda Global Shared Services limited (BGSS),Silver Jewllery,Ramgarh%Jharkhand,Rice,Rabi,15516
1820,Komal Roy,8193168840,female,Delhi,SOUTH DELHI,Andrewsganj SO,110049,Bartronics India Ltd,"Tourism (Medical & Religious),Hospitality Services",South%Delhi,Maize,Rabi,47347
1821,Komal Kumari,6846274926,male,Punjab,ROPAR,Abiana BO,140119,BD FINANCIAL SERVICES,"Kinnow,Honey,Potato,Maize",Rupnagar%Punjab,Rice,Rabi,15516
1822,Madhushree Chatterjee,1558926131,male,Delhi,SHAHDARA,Dilshad Garden SO,110095,Bharat Financial Inclusion Ltd,Readymade clothes/garments,Shahdara%Delhi,Maize,Rabi,47347
1823,Albish Tirkey,4552862644,female,Punjab,LUDHIANA,Karyana Kalan BO,141015,BHARTIYA SAMRUDDHI FINANCE LTD,"Readymade Garments,Engineering Goods",Ludhiana%Punjab,Rice,Kharif,1119000
1824,Shivam Arya,3512960333,male,Haryana,YAMUNANAGAR,Kalanaur B.O,135004,BLAZE TRUST,"Plywood,Metal Utensils",Yamunanagar%Haryana,Maize,Rabi,47347
1825,Rohan Barak,9231161265,female,Odisha,KALAHANDI,Gajabahal B.O,766031,BLS INTERNATIONAL SERVICES LIMITED,Handicraft (Wood Carving),Kalahandi%Odisha,Rice,Winter,338000
1826,Gaurav Mewara,8552018329,male,Punjab,PATIALA,Badshahpur BO,147102,BLUE3 IT SOLUTIONS PVT. LTD,Embroidery Fabric-Phulkari,Patiala%Punjab,Wheat,Rabi,1024000
1827,Lalit Singh Rautela,8988090873,male,Jharkhand,LATEHAR,Demu BO,829207,Bold Finance Technologies Pvt Ltd,Mahua,Latehar%Jharkhand,Rice,Rabi,15516
1828,Chitrala Chaitanya,7940196625,male,Jharkhand,LATEHAR,Balu BO,829206,Bonfleet Solutions Private Limited,Mahua,Latehar%Jharkhand,Rice,Rabi,15516
1829,Madhu,9817785918,male,Bihar,EAST CHAMPARAN,Ahiraulia BO,845417,BSS Microfinance Limited,"Seep Buttons,Shahi Litchi,Bags & Garments",East Champaran%Bihar,Wheat,Rabi,87581
1830,Kajal Singh,7965847338,female,Jharkhand,EAST SINGHBHUM,Burma Mines SO,831007,Buldana Urban Management Services Private Limited,Paithkar Painting,Jamshedpur (East Singhbhum)%Jharkhand,Rice,Winter,820981
1831,Risha Barat,7404067848,female,Jharkhand,RAMGARH,Ramgarh Cantt HO,829122,BULLOCKCART WORKERS DEVELOPMENT ASSOCIAT,Silver Jewllery,Ramgarh%Jharkhand,Rice,Rabi,15516
1832,Bhupendra Giri Goswami,9018990224,female,Maharashtra,DHULE,Borvihir B.O,424311,Bumppy Media Private Limited,"De-Oiled Cake,Textile",Dhule%Maharashtra,Cotton(lint),Kharif,258200
1833,Priti Das,9835129815,male,Delhi,NEW DELHI,Vasant Vihar1 SO,110057,Cashpor Micro Credit,Bakery Products,New Delhi%Delhi,Maize,Rabi,47347
1834,Anchal Kumari,6312410901,male,Punjab,ROPAR,Bhanupali SO,140133,CDOT DEVELOPMENT SERVICES PRIVATE LIMITED(CDSPL),"Kinnow,Honey,Potato,Maize",Rupnagar%Punjab,Rice,Rabi,15516
1835,Sourav Bose,7599174510,female,Jharkhand,WEST SINGHBHUM,Baipee BO,833102,Centillion Solutions and Services Pvt Ltd,Custard Apple,West Singhbhum(chaibassa)%Jharkhand,Rice,Rabi,15516
1836,Heefsha Khatoon,9689958877,male,Punjab,LUDHIANA,Attiana BO,141107,CENTRE FOR DEVELPOMENT ORIENTATION & TRAINING (CDOT),"Readymade Garments,Engineering Goods",Ludhiana%Punjab,Rice,Kharif,1119000
1837,Pranav Anil Dange,6148668629,female,Bihar,EAST CHAMPARAN,Gad Bahuari BO,845440,CENTRE FOR ENTRPNEURSHIP DEVELOPMENT M P CEDMAP,"Seep Buttons,Shahi Litchi,Bags & Garments",East Champaran%Bihar,Wheat,Rabi,87581
1838,Saisreyas Reddy Gopireddy,4923143449,female,Odisha,RAYAGADA,Ambadola S.O,765021,Champion Software Technologies Ltd,"Cotton,Tamarind",Rayagada%Odisha,Rice,Winter,161000
1839,Ravinder Kumar,8379411172,female,Odisha,KALAHANDI,Bandhakona B.O,766013,Chankya E Services Pvt Ltd,Handicraft (Wood Carving),Kalahandi%Odisha,Rice,Winter,338000
1840,Aadesh,6579315369,female,Jharkhand,BOKARO,Bhandaridah SO,829132,CITTAPLUS CONSULTANCY PRIVATE LIMITED,Woodcraft,Bokaro%Jharkhand,Maize,Rabi,47347
1841,Prateek Sharma,6194152247,female,Delhi,SHAHDARA,Azad Nagar SO East Delhi,110051,CMS Computers Ltd,Readymade clothes/garments,Shahdara%Delhi,Maize,Rabi,47347
1842,Manmohan,5241374977,male,Punjab,ROPAR,Ganugwal SO,140123,COMMONWEALTH INCLUSIVE GROWTH FOUNDATION,"Kinnow,Honey,Potato,Maize",Rupnagar%Punjab,Rice,Rabi,15516
1843,Umar Papalal Jamadar,2372977503,male,Delhi,EAST DELHI,Ghazipur BO,110096,COMMONWEALTH INCLUSIVE GROWTH SERVICES LIMITED,Tourism,East%Delhi,Maize,Rabi,47347
1844,Amit Verma,5138596203,female,Punjab,LUDHIANA,Lohora SO,141016,Community Collective Society for Integrated Development (CCFID),"Readymade Garments,Engineering Goods",Ludhiana%Punjab,Rice,Kharif,1119000
1845,Nadakuditi Tarun Babu,5049846764,female,Haryana,YAMUNANAGAR,Bakarwala B.O,135021,Conatus Management Services Pvt Ltd,"Plywood,Metal Utensils",Yamunanagar%Haryana,Maize,Rabi,47347
1846,Rakesh Singh Rawat,9313865767,female,Odisha,KALAHANDI,Karlamunda S.O,766032,Coromandel Infotech India Limited,Handicraft (Wood Carving),Kalahandi%Odisha,Rice,Winter,338000
1847,Sushant Vishnu Narwade,4952929346,male,Bihar,DARBHANGA,Adharpur BO,847427,CSC e- Governance Services India Ltd,"Makhana,Madhubhani Paintings,Terracotta",Darbhanga%Bihar,Wheat,Rabi,89175
1848,Nandini Maheshwari,9068098420,male,Jharkhand,LATEHAR,Mc Cluskiganj SO,829208,Damanpreet Singh,Mahua,Latehar%Jharkhand,Rice,Rabi,15516
1849,Chandrajeet Ramshrungar Yadav,3164901878,male,Bihar,EAST CHAMPARAN,Bahlolpur BO,845418,DATUM MICRO CREDIT,"Seep Buttons,Shahi Litchi,Bags & Garments",East Champaran%Bihar,Wheat,Rabi,87581
1850,Aakriti Mishra,8283853811,female,Jharkhand,EAST SINGHBHUM,Agrico SO,831009,Dave & Dave Associates,Paithkar Painting,Jamshedpur (East Singhbhum)%Jharkhand,Rice,Winter,820981
1851,Madhurima Das,5037830610,female,Jharkhand,BOKARO,Champi BO,829123,DECCAN KING,Woodcraft,Bokaro%Jharkhand,Maize,Rabi,47347
1852,Rajen Dey,5209926927,female,Maharashtra,DHULE,Ambode B.O,424318,Decimus Financial Ltd,"De-Oiled Cake,Textile",Dhule%Maharashtra,Cotton(lint),Kharif,258200
1853,Subodh Kumar Patel,5103330738,female,Delhi,WEST DELHI,D.E.S.U. Colony S.O,110058,Department of Posts,Furniture items,West%Delhi,Maize,Rabi,47347
1854,Saifali Rafiq Momin,4387709011,female,Punjab,MOHALI,Bhankarpur BO,140201,DHAIRYASHIL JAYSING CHAVAN,"Engineering Goods,Sculptures,Pharmaceuticals/ Medical Equipment",Sahibzada Ajit Singh Nagar/ Mohali%Punjab,Rice,Rabi,15516
1855,Kishan Tiwari,4163747119,female,Jharkhand,WEST SINGHBHUM,Bari BO,833103,Dhan Hind Utility Pvt Ltd,Custard Apple,West Singhbhum(chaibassa)%Jharkhand,Rice,Rabi,15516
1856,Divya Maurya,1350844289,male,Punjab,LUDHIANA,Andlu BO,141108,Dhanvarsha Finvest Limited,"Readymade Garments,Engineering Goods",Ludhiana%Punjab,Rice,Kharif,1119000
